the_geom,Id,DESCRIPTIO,ML,ADDRESS,ACCESSVIA,STRUCTURE,OWNTYPE,TOTALSP,COMMSPAC
POINT (-71.10460204824076 42.3751121286875),0,Cambridge Hospital Garage,111-56,1493 Cambridge Street,Cambridge Street,Garage,Private,310,150
POINT (-71.08950227666442 42.36798309562023),0,1 Kendall Square Garage,39-174,389 Binney Street / 205 B,Broadway,Garage,Private,1566,1050
POINT (-71.0938267261845 42.37250175926171),0,Municipal Lot #11,80-142,984 Cambridge Street,Cambridge or Windsor,Lot,Municipal,15,15
POINT (-71.07653876387539 42.37029378871318),0,Monitor Building Public Garage,8-75,2 Canal Park,Monsignor O'Brien Highway,Garage,Private,177,50
POINT (-71.07686146698411 42.36825837029388),0,Cambridgeside Galleria,8-1,78-90 First Street,Lower: Land Blvd. Camb,Garage,Private,2538,2538
POINT (-71.07815214046688 42.3690331080737),0,First Street Municipal Garage,18-75,11 Spring / 51 First St.,Spring St.,Garage,Municipal,1110,1110
POINT (-71.07867121989308 42.367693162625606),0,Bent Realty Trust,10-33,29 Charles Street,Hurley St.,Garage,Private,75,75
POINT (-71.08854448860617 42.37249053271511),0,Municipal Lot #12,36-247,9 Warren Street,Warren/Marion St,Lot,Municipal,31,31
POINT (-71.08758901172095 42.36541384182496),0,Cambridge Center Garage,30-37,115 Broadway,Binney/Broadway,Garage,Private,1170,500
POINT (-71.08352437259977 42.362755198902164),0,MIT Badger Building,14-31,One Broadway,Broadway or 3rd,Garage/Lot,Private,430,430
POINT (-71.08288098401705 42.36351296370268),0,CRP Garage 1,14-1038,354 Third Street,Third St,Garage,Private,1409,150
POINT (-71.08643353555648 42.363125963940114),0,4 Cambridge Center,44-95,4 Cambridge Ctr,Ames,Garage,Private,875,875
POINT (-71.07910393766956 42.371226169699874),0,Barrister Trust,20-31,201 Cambridge Street,Cambridge St.,Lot,Private,15,15
POINT (-71.0925045345524 42.3677860648875),0,45 Webster Avenue,40-139,45 Webster Avenue,Webster Ave,Lot,Private,8,8
POINT (-71.10014543375401 42.36422303169002),0,Municipal Lot #6,91-195,38 Bishop Allen Drive,Bishop Allen Dr,Lot,Municipal,79,45
POINT (-71.10186716709565 42.36518553606803),0,Municipal Lot #5,90-184,84 Bishop Allen Drive,Bishop Allen Dr. & Nor,Lot,Municipal,82,82
POINT (-71.10232762284272 42.365622696833746),0,Municipal Lot #4,90-55,96 Bishop Allen Drive,Bishop Allen Dr.,Lot,Municipal,18,18
POINT (-71.10367336240948 42.36413941138927),0,Green Street Garage,106-122,260 Green St,Green St,Garage,Municipal,290,290
POINT (-71.09928052510621 42.3614068793458),0,Shaw's Supermarket Garage,69-62,55 Franklin Street,Franklin St,Garage,Private,1002,500
POINT (-71.10711117967223 42.36628305908648),0,YMCA Lot,119-89,438 Green Street,Green Street,Lot,Private,106,86
POINT (-71.10636936479311 42.36588010950673),0,Municipal Lot #9,119-51,9 Pleasant Street,Green St. & Pleasant S,Lot,Municipal,17,17
POINT (-71.10570633430721 42.36587481984354),0,Municipal Lot #8,105-67,375 Green Street,Green & Pleasant,Lot,Municipal,16,16
POINT (-71.1107307520969 42.36873027258501),0,Cambridge College Garage,121-113,1000 Massachusetts Avenue,Bay St,Garage,Private,189,189
POINT (-71.12400410098627 42.37264822633497),0,University Place Garage,165-53,124 Mt. Auburn Street,University Road,Garage,Private,450,200
POINT (-71.11864304855351 42.37263665955422),0,Holyoke Center Parking Garage,160-14,17 Holyoke Street,Holyoke St.,Garage,Private,109,109
POINT (-71.12342409832681 42.37238748106616),0,Charles Square Garage,165-55,14 University Road,Bennet St.,Garage,Private,686,600
POINT (-71.12115322633304 42.371862935233075),0,Eliot Street Garage,162-66,65 John F. Kennedy Street,Eliot St.,Garage,Private,265,265
POINT (-71.12209278953709 42.372694821498854),0,Municipal Lot #2,165-34,110 Mt. Auburn Street,Mt. Auburn or Bennett,Lotunderbldg,Municipal,79,42
POINT (-71.12065008934863 42.374563312569904),0,Church Street Lot,169-12,41 Church Street,Church St.,Lot,Private,122,122
POINT (-71.1146702148397 42.37188638289983),0,The Inn At Harvard,134-1,1201 Massachusetts Avenue,Mass. Ave,Garage,Private,58,50
POINT (-71.14197027759144 42.39569710912441),0,Alewife MBTA Station,269.5-A5,5-7 CambridgePark Dr.,Alewife Station Access,Garage,MBTA,2733,2733
POINT (-71.0947922315999 42.36046537293463),0,MIT,53-54,139 Massachusetts Ave,Mass Ave,Lot,Private,21,21
POINT (-71.10011405764003 42.374219845481235),0,Municipal Lot #14,83-13,15 Springfield St,Springfield St,Lot,Municipal,30,30
POINT (-71.10561754082957 42.35451444944406),0,Hyatt,63-134,575 Memorial Drive,Amesbury St,Garage,Private,458,458
POINT (-71.07517527356538 42.36665230367978),0,Royal Sonesta,9-31,5 Cambridge Parkway,Land Blvd,Garage,Private,180,60
POINT (-71.07244829388769 42.36830860461085),0,Museum of Science,9-90,14 Msg OBrien Hwy,Msg O'Brien,Garage,Private,994,994
POINT (-71.088623591475 42.3635615233136),0,7 Cambridge Center,43-76,7 Cambridge Ctr,Ames,Garage,Private,731,731
POINT (-71.0808039868643 42.36775351579294),0,198 Third Street,17-88,198 Third Street,Charles St,Lot,Private,8,8
POINT (-71.10691135616594 42.375407232888236),0,Spaulding Hospital,140-124,1575 Cambridge Street,,Lot,Private,362,50
